epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.694673273964755,0.8094453781512605,0.041200059611144375,0.9877319911921988,0.0001
2,0.28483837982940097,0.9170084033613446,0.008856835804071485,0.9974834853727588,0.0001
3,0.2320291658843397,0.9308235294117647,0.006706910375790508,0.9984271783579742,0.0001
4,0.20745661467293738,0.9379495798319327,0.012761302424054584,0.9971689210443536,0.0001
5,0.1792110363712474,0.9456806722689076,0.002487671856206316,0.9998427178357974,0.0001
6,0.1725913645274016,0.9475630252100841,0.0019667734133140104,0.9996854356715948,0.0001
7,0.1638264323490852,0.9487394957983193,0.006068828865299043,0.9981126140295691,0.0001
8,0.15276109332091084,0.9532436974789916,0.003304986856280732,0.9993708713431897,0.0001
9,0.14183039071729348,0.9547563025210084,0.001793680554620675,1.0,0.0001
10,0.1340156859663185,0.9584201680672269,0.0013166781606396946,1.0,0.0001
11,0.13434406151808548,0.9582521008403362,0.001757780807598001,0.9996854356715948,0.0001
12,0.12861296266567096,0.9592605042016806,0.0022487102323669552,0.9996854356715948,0.0001
13,0.12539415938200138,0.960436974789916,0.0027249885241199126,0.9993708713431897,5e-05
14,0.0832631245273621,0.9737142857142858,0.0002696606903370551,1.0,5e-05
15,0.07936270500502614,0.9748235294117648,0.00022016869199268028,1.0,5e-05
